[2021-09-02 00:36:41,084] A: 020026_004, B: 020026_004_1 | MSE | 1.73334248861 | PSNR | 45.74195978063793 | SSMI | 0.984158632004 | Delta_E | 0.436615280295
[2021-09-02 00:36:42,399] A: 020027_001, B: 020027_001_1 | MSE | 1.70475991567 | PSNR | 45.81417135686927 | SSMI | 0.983784575473 | Delta_E | 0.406291145131
[2021-09-02 00:36:43,714] A: 020027_002, B: 020027_002_1 | MSE | 3.34158261617 | PSNR | 42.891281579240406 | SSMI | 0.981698467644 | Delta_E | 0.472299469919
[2021-09-02 00:36:45,035] A: 020027_003, B: 020027_003_1 | MSE | 1.60165659587 | PSNR | 46.08510954305355 | SSMI | 0.984117575185 | Delta_E | 0.408840785704
[2021-09-02 00:36:46,348] A: 020027_004, B: 020027_004_1 | MSE | 2.86251513163 | PSNR | 43.563325697759936 | SSMI | 0.983312577723 | Delta_E | 0.442717707855
[2021-09-02 00:36:47,673] A: 020028_001, B: 020028_001_1 | MSE | 2.5072482427 | PSNR | 44.13883025275961 | SSMI | 0.980977817438 | Delta_E | 0.388189912868
[2021-09-02 00:36:48,984] A: 020028_002, B: 020028_002_1 | MSE | 2.56419563293 | PSNR | 44.04129204661216 | SSMI | 0.980919798201 | Delta_E | 0.384423802847
[2021-09-02 00:36:50,301] A: 020028_003, B: 020028_003_1 | MSE | 3.95798238118 | PSNR | 42.15606504239374 | SSMI | 0.985932862532 | Delta_E | 0.369305346676
[2021-09-02 00:36:51,633] A: 020028_004, B: 020028_004_1 | MSE | 6.80559953054 | PSNR | 39.80213971029451 | SSMI | 0.979857214218 | Delta_E | 0.525863481323
[2021-09-02 00:36:52,956] A: 020029_001, B: 020029_001_1 | MSE | 0.638560930888 | PSNR | 50.078780173172674 | SSMI | 0.992619802246 | Delta_E | 0.114662186476
[2021-09-02 00:36:54,330] A: 020029_002, B: 020029_002_1 | MSE | 1.47171179454 | PSNR | 46.45257590470918 | SSMI | 0.990538555234 | Delta_E | 0.179891061376
[2021-09-02 00:36:55,688] A: 020029_003, B: 020029_003_1 | MSE | 0.563674608866 | PSNR | 50.62051888718619 | SSMI | 0.993107415121 | Delta_E | 0.107838617209
[2021-09-02 00:36:57,031] A: 020029_004, B: 020029_004_1 | MSE | 1.26023960114 | PSNR | 47.12627238323054 | SSMI | 0.991419877764 | Delta_E | 0.163530888546
[2021-09-02 00:36:58,366] A: 020030_001, B: 020030_001_1 | MSE | 13.96697553 | PSNR | 36.6797798860076 | SSMI | 0.955733146654 | Delta_E | 0.784281957284
[2021-09-02 00:36:59,691] A: 020030_002, B: 020030_002_1 | MSE | 9.87289746602 | PSNR | 38.1863573415179 | SSMI | 0.970142408942 | Delta_E | 0.626210497367
[2021-09-02 00:37:01,016] A: 020030_003, B: 020030_003_1 | MSE | 12.7501560847 | PSNR | 37.07564859524802 | SSMI | 0.959154263318 | Delta_E | 0.757152278899
[2021-09-02 00:37:02,342] A: 020030_004, B: 020030_004_1 | MSE | 7.53322188059 | PSNR | 39.3609960170575 | SSMI | 0.976663402474 | Delta_E | 0.534283960572
[2021-09-02 00:37:03,665] A: 020031_001, B: 020031_001_1 | MSE | 11.5232245127 | PSNR | 37.51506337324433 | SSMI | 0.971050394739 | Delta_E | 0.765323313833
[2021-09-02 00:37:04,982] A: 020031_002, B: 020031_002_1 | MSE | 10.1916691462 | PSNR | 38.04835044218793 | SSMI | 0.97630913092 | Delta_E | 0.690493884368
[2021-09-02 00:37:06,300] A: 020031_003, B: 020031_003_1 | MSE | 11.9647604624 | PSNR | 37.351763525177475 | SSMI | 0.970392566255 | Delta_E | 0.797003473915
[2021-09-02 00:37:07,623] A: 020031_004, B: 020031_004_1 | MSE | 9.05813916524 | PSNR | 38.560413721614424 | SSMI | 0.977887308867 | Delta_E | 0.674177350736
[2021-09-02 00:37:08,942] A: 020032_001, B: 020032_001_1 | MSE | 4.82154305776 | PSNR | 41.298943113791054 | SSMI | 0.981685618657 | Delta_E | 0.369867225107
[2021-09-02 00:37:10,263] A: 020032_002, B: 020032_002_1 | MSE | 4.17769749959 | PSNR | 41.92143370655329 | SSMI | 0.983034112468 | Delta_E | 0.34215873332
[2021-09-02 00:37:11,587] A: 020032_003, B: 020032_003_1 | MSE | 4.44979222616 | PSNR | 41.64740627896134 | SSMI | 0.981935831069 | Delta_E | 0.357374188718
[2021-09-02 00:37:12,909] A: 020032_004, B: 020032_004_1 | MSE | 3.991938591 | PSNR | 42.118965090625686 | SSMI | 0.984368003606 | Delta_E | 0.356254429889
[2021-09-02 00:37:14,229] A: 020033_001, B: 020033_001_1 | MSE | 3.45432917277 | PSNR | 42.747166405183364 | SSMI | 0.982744375248 | Delta_E | 0.321082637709
[2021-09-02 00:37:15,550] A: 020033_002, B: 020033_002_1 | MSE | 2.19787057241 | PSNR | 44.710782466403074 | SSMI | 0.987789358715 | Delta_E | 0.243830789879
[2021-09-02 00:37:16,872] A: 020033_003, B: 020033_003_1 | MSE | 4.16659673055 | PSNR | 41.93298892129373 | SSMI | 0.981911316697 | Delta_E | 0.372199262158
[2021-09-02 00:37:18,193] A: 020033_004, B: 020033_004_1 | MSE | 2.41100915273 | PSNR | 44.30881501808283 | SSMI | 0.988200648275 | Delta_E | 0.26523582048
[2021-09-02 00:37:19,514] A: 020034_001, B: 020034_001_1 | MSE | 7.57348632813 | PSNR | 39.337845151169056 | SSMI | 0.975284092099 | Delta_E | 0.5459702375
[2021-09-02 00:37:20,837] A: 020034_002, B: 020034_002_1 | MSE | 6.06725215912 | PSNR | 40.30088315975276 | SSMI | 0.980217340976 | Delta_E | 0.49980161316
[2021-09-02 00:37:22,160] A: 020034_003, B: 020034_003_1 | MSE | 4.73979314168 | PSNR | 41.373209726507845 | SSMI | 0.981133165381 | Delta_E | 0.380797494608
[2021-09-02 00:37:23,480] A: 020034_004, B: 020034_004_1 | MSE | 3.37317498525 | PSNR | 42.85041489836657 | SSMI | 0.986702230196 | Delta_E | 0.307164036529
[2021-09-02 00:37:24,805] A: 020035_001, B: 020035_001_1 | MSE | 8.01408259074 | PSNR | 39.09226547039092 | SSMI | 0.974369090038 | Delta_E | 0.579783465493
[2021-09-02 00:37:26,127] A: 020035_002, B: 020035_002_1 | MSE | 3.70087814331 | PSNR | 42.447755753024026 | SSMI | 0.984419162215 | Delta_E | 0.335492674741
[2021-09-02 00:37:27,450] A: 020035_003, B: 020035_003_1 | MSE | 6.97531604767 | PSNR | 39.69516470836419 | SSMI | 0.976553150988 | Delta_E | 0.544471962291
[2021-09-02 00:37:28,774] A: 020035_004, B: 020035_004_1 | MSE | 5.5873559316 | PSNR | 40.65874022744527 | SSMI | 0.982797727544 | Delta_E | 0.485443139226
