[2021-09-02 22:17:37,488] A: 025984, B: 025984_870001 | MSE | 36.1209235986 | PSNR | 32.55321514335787 | SSIM | 0.888438691627 | Delta_E | 1.15375044793
[2021-09-02 22:17:37,488] A: 025985, B: 025985_870001 | MSE | 13.4581555525 | PSNR | 36.840948171939104 | SSIM | 0.960480746479 | Delta_E | 0.789116212008
[2021-09-02 22:17:37,488] A: 025986, B: 025986_870001 | MSE | 53.5895690918 | PSNR | 30.84000095927437 | SSIM | 0.839366666975 | Delta_E | 1.37859636153
[2021-09-02 22:17:37,488] A: 025987, B: 025987_870001 | MSE | 13.3855084578 | PSNR | 36.864454880546134 | SSIM | 0.962455990451 | Delta_E | 0.769688731916
[2021-09-02 22:17:37,488] A: 025988, B: 025988_870001 | MSE | 14.3689748446 | PSNR | 36.556545763946914 | SSIM | 0.952608659543 | Delta_E | 0.676137116636
[2021-09-02 22:17:37,489] A: 025989, B: 025989_870001 | MSE | 23.4966447353 | PSNR | 34.42074510381885 | SSIM | 0.938969521761 | Delta_E | 0.897299004879
[2021-09-02 22:17:37,489] A: 025990, B: 025990_870001 | MSE | 23.3586552143 | PSNR | 34.44632524560085 | SSIM | 0.892406456528 | Delta_E | 0.841354835739
[2021-09-02 22:17:37,489] A: 025991, B: 025991_870001 | MSE | 14.3059323629 | PSNR | 36.57564193458805 | SSIM | 0.938904025987 | Delta_E | 0.784695425112
[2021-09-02 22:17:37,489] A: 025992, B: 025992_870001 | MSE | 13.1590764523 | PSNR | 36.93854950751369 | SSIM | 0.962238451193 | Delta_E | 0.714962014639
[2021-09-02 22:17:37,489] A: 025993, B: 025993_870001 | MSE | 9.06538701057 | PSNR | 38.55694011568303 | SSIM | 0.970847653384 | Delta_E | 0.563459348438
[2021-09-02 22:17:37,489] A: 025994, B: 025994_870001 | MSE | 19.2675221761 | PSNR | 35.28254493354914 | SSIM | 0.949757817304 | Delta_E | 0.925943834644
[2021-09-02 22:17:37,489] A: 025995, B: 025995_870001 | MSE | 21.9280064106 | PSNR | 34.720812113715255 | SSIM | 0.934309422172 | Delta_E | 1.01909743995
[2021-09-02 22:17:37,489] A: 025996, B: 025996_870001 | MSE | 25.8015573025 | PSNR | 34.014344414372154 | SSIM | 0.91834632943 | Delta_E | 0.964623245048
[2021-09-02 22:17:37,489] A: 025997, B: 025997_870001 | MSE | 33.9371615251 | PSNR | 32.82404845383047 | SSIM | 0.866725508039 | Delta_E | 1.3709579194
[2021-09-02 22:17:37,489] A: 025998, B: 025998_870001 | MSE | 8.85953442256 | PSNR | 38.656694609929744 | SSIM | 0.96681936728 | Delta_E | 0.580169076201
[2021-09-02 22:17:37,489] A: 025999, B: 025999_870001 | MSE | 173.786313693 | PSNR | 25.730647896860503 | SSIM | 0.644104557918 | Delta_E | 3.69189483938
[2021-09-02 22:17:37,489] A: 026000, B: 026000_870001 | MSE | 9.07567397753 | PSNR | 38.55201474393341 | SSIM | 0.961052098169 | Delta_E | 0.71764845634
[2021-09-02 22:17:37,489] A: 026001, B: 026001_870001 | MSE | 52.9856589635 | PSNR | 30.889220209990942 | SSIM | 0.824158784147 | Delta_E | 1.54064586408
