[2021-09-02 01:55:57,068] A: 020136, B: 020136_870001 | MSE | 8.01608188947 | PSNR | 39.0911821572255 | SSMI | 0.963579552459 | Delta_E | 0.430041992878
[2021-09-02 01:56:02,535] A: 020137, B: 020137_870001 | MSE | 29.0957255363 | PSNR | 33.492511695566286 | SSMI | 0.894690496028 | Delta_E | 1.005002203
[2021-09-02 01:56:08,008] A: 020138, B: 020138_870001 | MSE | 4.00068434079 | PSNR | 42.10946074537415 | SSMI | 0.978185449569 | Delta_E | 0.277656933905
[2021-09-02 01:56:13,477] A: 020139, B: 020139_870001 | MSE | 17.8940347036 | PSNR | 35.603720855919654 | SSMI | 0.942588244543 | Delta_E | 0.904975670311
[2021-09-02 01:56:18,917] A: 020140, B: 020140_870001 | MSE | 3.56613357862 | PSNR | 42.60882754117654 | SSMI | 0.974006129967 | Delta_E | 0.291654290837
[2021-09-02 01:56:24,387] A: 020141, B: 020141_870001 | MSE | 20.6788286368 | PSNR | 34.97554426590096 | SSMI | 0.893912514735 | Delta_E | 0.822902498274
[2021-09-02 01:56:29,855] A: 020142, B: 020142_870001 | MSE | 20.4999839465 | PSNR | 35.01326839907613 | SSMI | 0.926412964921 | Delta_E | 0.874628411584
[2021-09-02 01:56:35,315] A: 020143, B: 020143_870001 | MSE | 14.870844841 | PSNR | 36.40744718548831 | SSMI | 0.947697208338 | Delta_E | 0.665490023814
[2021-09-02 01:56:40,771] A: 020144, B: 020144_870001 | MSE | 10.5158542792 | PSNR | 37.912358015181916 | SSMI | 0.956829800563 | Delta_E | 0.591694059939
[2021-09-02 01:56:46,210] A: 020145, B: 020145_870001 | MSE | 7.07798655828 | PSNR | 39.63170627329209 | SSMI | 0.959550729124 | Delta_E | 0.486176897653
[2021-09-02 01:56:51,662] A: 020146, B: 020146_870001 | MSE | 14.2330666383 | PSNR | 36.597818781687636 | SSMI | 0.938877050935 | Delta_E | 0.741711384048
