[2021-09-02 17:50:33,120] A: 020022_002, B: 020022_002_1 | MSE | 3.81981627146 | PSNR | 42.31037886492396 | SSMI | 0.973937701852 | Delta_E | 0.329054061918
[2021-09-02 17:50:34,417] A: 020022_003, B: 020022_003_1 | MSE | 3.85679912567 | PSNR | 42.268533408466354 | SSMI | 0.974661223973 | Delta_E | 0.331290890402
[2021-09-02 17:50:35,713] A: 020022_004, B: 020022_004_1 | MSE | 3.12142690023 | PSNR | 43.187271920953634 | SSMI | 0.979246899394 | Delta_E | 0.292162919885
[2021-09-02 17:50:37,007] A: 020023_001, B: 020023_001_1 | MSE | 2.843501091 | PSNR | 43.59226961648223 | SSMI | 0.970375632972 | Delta_E | 0.428888604525
[2021-09-02 17:50:38,303] A: 020023_002, B: 020023_002_1 | MSE | 3.45686244965 | PSNR | 42.7439826178492 | SSMI | 0.971594570989 | Delta_E | 0.464686721792
[2021-09-02 17:50:39,597] A: 020023_003, B: 020023_003_1 | MSE | 1.9386326472 | PSNR | 45.255848387464724 | SSMI | 0.977461240889 | Delta_E | 0.356486634151
[2021-09-02 17:50:40,900] A: 020023_004, B: 020023_004_1 | MSE | 4.4522596995 | PSNR | 41.644998721477606 | SSMI | 0.970406929302 | Delta_E | 0.727718727781
[2021-09-02 17:50:42,205] A: 020024_001, B: 020024_001_1 | MSE | 16.0162852605 | PSNR | 36.08518565594943 | SSMI | 0.94483376094 | Delta_E | 0.779135631141
[2021-09-02 17:50:43,509] A: 020024_002, B: 020024_002_1 | MSE | 9.91940911611 | PSNR | 38.16594558195205 | SSMI | 0.957736060874 | Delta_E | 0.590564053991
[2021-09-02 17:50:44,814] A: 020024_003, B: 020024_003_1 | MSE | 19.1769873301 | PSNR | 35.30299979549029 | SSMI | 0.942351273159 | Delta_E | 0.889253457513
[2021-09-02 17:50:46,120] A: 020024_004, B: 020024_004_1 | MSE | 8.94302018483 | PSNR | 38.61596149890583 | SSMI | 0.963889005951 | Delta_E | 0.551208155434
[2021-09-02 17:50:47,426] A: 020025_001, B: 020025_001_1 | MSE | 15.1447766622 | PSNR | 36.32817487629101 | SSMI | 0.952322211579 | Delta_E | 0.81505271076
[2021-09-02 17:50:48,733] A: 020025_002, B: 020025_002_1 | MSE | 9.47871208191 | PSNR | 38.36331029196308 | SSMI | 0.964076345932 | Delta_E | 0.621265335067
[2021-09-02 17:50:50,039] A: 020025_003, B: 020025_003_1 | MSE | 15.7920853297 | PSNR | 36.1464087890392 | SSMI | 0.952505025321 | Delta_E | 0.818619175369
[2021-09-02 17:50:51,344] A: 020025_004, B: 020025_004_1 | MSE | 6.67773024241 | PSNR | 39.88451489815104 | SSMI | 0.969102350486 | Delta_E | 0.432076001279
